component,context,state,kind,subkind,requirement,threshold,ratio,verdict,project_bar_3,element,fg_token,fg_rendered,bg_token,bg_rendered,font_px,font_weight,large,count,fg_chain,bg_chain,path,text
accordion,acme,default,non-text,border,informational,,1.23,INFO,FAIL,onyx-accordion border,--ui-accordion-border,#e2e8f0,--ui-color-surface,#ffffff,,,,2,--ui-accordion-border → --ui-color-border → --ui-slate-200 → #e2e8f0,--ui-color-surface → --ui-white → #ffffff,onyx-accordion.ui-accordion,
accordion,acme,default,non-text,border-b,informational,,1.23,INFO,FAIL,onyx-accordion › onyx-accordion-item.ui-accordion-item border-b,--ui-accordion-border,#e2e8f0,--ui-color-surface,#ffffff,,,,3,--ui-accordion-border → --ui-color-border → --ui-slate-200 → #e2e8f0,--ui-color-surface → --ui-white → #ffffff,onyx-accordion-item.ui-accordion-item,
accordion,acme,default,text,text,required,4.5,17.85,PASS,PASS,onyx-accordion › span.ui-accordion-item__label,--ui-accordion-header-text,#0f172a,--ui-color-surface,#ffffff,16,600,false,5,--ui-accordion-header-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-color-surface → --ui-white → #ffffff,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger > span.ui-accordion-item__label,Shipping
accordion,acme,default,text,text,required,4.5,17.85,PASS,PASS,onyx-accordion › span.ui-accordion-item__icon,--ui-accordion-header-text,#0f172a,--ui-color-surface,#ffffff,16,600,false,5,--ui-accordion-header-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-color-surface → --ui-white → #ffffff,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger > span.ui-accordion-item__icon,›
accordion,acme,default,text,text,required,4.5,17.85,PASS,PASS,onyx-accordion › div.ui-accordion-item__body,--ui-accordion-panel-text,#0f172a,--ui-color-surface,#ffffff,15,400,false,5,--ui-accordion-panel-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-color-surface → --ui-white → #ffffff,onyx-accordion-item.ui-accordion-item > div.ui-accordion-item__panel > div.ui-accordion-item__body,"Free over $50, 2–4 business days."
accordion,acme,focus,non-text,focus-ring,required,3,4.23,PASS,PASS,onyx-accordion › button.ui-accordion-item__trigger focus-ring/box-shadow,--ui-focus-ring,#8b5cf6,--ui-color-surface,#ffffff,,,,1,--ui-focus-ring → #8b5cf6,--ui-color-surface → --ui-white → #ffffff,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger,
accordion,acme,hover,text,text,required,4.5,16.4,PASS,PASS,onyx-accordion › span.ui-accordion-item__label,--ui-accordion-header-text,#0f172a,--ui-accordion-header-bg-hover,#eff6ff,16,600,false,1,--ui-accordion-header-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-accordion-header-bg-hover → --ui-color-surface-hover → --ui-blue-50 → #eff6ff,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger > span.ui-accordion-item__label,Shipping
accordion,acme,hover,text,text,required,4.5,16.4,PASS,PASS,onyx-accordion › span.ui-accordion-item__icon,--ui-accordion-header-text,#0f172a,--ui-accordion-header-bg-hover,#eff6ff,16,600,false,1,--ui-accordion-header-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-accordion-header-bg-hover → --ui-color-surface-hover → --ui-blue-50 → #eff6ff,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger > span.ui-accordion-item__icon,›
accordion,acme,hover,non-text,box,informational,,1.09,INFO,FAIL,onyx-accordion › button.ui-accordion-item__trigger box,--ui-accordion-header-bg-hover,#eff6ff,--ui-color-surface,#ffffff,,,,1,--ui-accordion-header-bg-hover → --ui-color-surface-hover → --ui-blue-50 → #eff6ff,--ui-color-surface → --ui-white → #ffffff,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger,
alert,light,default,non-text,border,informational,,6.7,INFO,PASS,onyx-alert.ui-alert--info › div.ui-alert__container border,--ui-alert-info-border,#1d4ed8,--ui-color-surface,#ffffff,,,,2,--ui-alert-info-border → --ui-color-info-border → --ui-blue-600 → #1d4ed8,--ui-color-surface → --ui-white → #ffffff,onyx-alert.ui-alert.ui-alert--info > div.ui-alert__container,
alert,light,default,non-text,border-vs-own-bg,informational,,6.16,INFO,PASS,onyx-alert.ui-alert--info › div.ui-alert__container border/inner,--ui-alert-info-border,#1d4ed8,--ui-alert-info-bg,#eff6ff,,,,2,--ui-alert-info-border → --ui-color-info-border → --ui-blue-600 → #1d4ed8,--ui-alert-info-bg → --ui-color-info-bg → --ui-blue-50 → #eff6ff,onyx-alert.ui-alert.ui-alert--info > div.ui-alert__container,
alert,light,default,non-text,box,informational,,1.09,INFO,FAIL,onyx-alert.ui-alert--info › div.ui-alert__container box,--ui-alert-info-bg,#eff6ff,--ui-color-surface,#ffffff,,,,2,--ui-alert-info-bg → --ui-color-info-bg → --ui-blue-50 → #eff6ff,--ui-color-surface → --ui-white → #ffffff,onyx-alert.ui-alert.ui-alert--info > div.ui-alert__container,
alert,light,default,text,text,required,4.5,8.01,PASS,PASS,onyx-alert.ui-alert--info › span.ui-alert__body,--ui-alert-info-text,#1e40af,--ui-alert-info-bg,#eff6ff,16,400,false,2,--ui-alert-info-text → --ui-color-info-text → --ui-blue-700 → #1e40af,--ui-alert-info-bg → --ui-color-info-bg → --ui-blue-50 → #eff6ff,onyx-alert.ui-alert.ui-alert--info > div.ui-alert__container > span.ui-alert__body,An informational message.
alert,light,default,non-text,border,informational,,3.3,INFO,PASS,onyx-alert.ui-alert--success › div.ui-alert__container border,--ui-alert-success-border,#16a34a,--ui-color-surface,#ffffff,,,,1,--ui-alert-success-border → --ui-color-success-border → --ui-green-600 → #16a34a,--ui-color-surface → --ui-white → #ffffff,onyx-alert.ui-alert.ui-alert--success > div.ui-alert__container,
alert,light,default,non-text,border-vs-own-bg,informational,,3.15,INFO,PASS,onyx-alert.ui-alert--success › div.ui-alert__container border/inner,--ui-alert-success-border,#16a34a,--ui-alert-success-bg,#f0fdf4,,,,1,--ui-alert-success-border → --ui-color-success-border → --ui-green-600 → #16a34a,--ui-alert-success-bg → --ui-color-success-bg → --ui-green-50 → #f0fdf4,onyx-alert.ui-alert.ui-alert--success > div.ui-alert__container,
alert,light,default,non-text,box,informational,,1.05,INFO,FAIL,onyx-alert.ui-alert--success › div.ui-alert__container box,--ui-alert-success-bg,#f0fdf4,--ui-color-surface,#ffffff,,,,1,--ui-alert-success-bg → --ui-color-success-bg → --ui-green-50 → #f0fdf4,--ui-color-surface → --ui-white → #ffffff,onyx-alert.ui-alert.ui-alert--success > div.ui-alert__container,
alert,light,default,text,text,required,4.5,4.79,PASS,PASS,onyx-alert.ui-alert--success › span.ui-alert__body,--ui-alert-success-text,#15803d,--ui-alert-success-bg,#f0fdf4,16,400,false,1,--ui-alert-success-text → --ui-color-success-text → --ui-green-700 → #15803d,--ui-alert-success-bg → --ui-color-success-bg → --ui-green-50 → #f0fdf4,onyx-alert.ui-alert.ui-alert--success > div.ui-alert__container > span.ui-alert__body,It worked.
alert,light,default,non-text,border,informational,,2.94,INFO,FAIL,onyx-alert.ui-alert--warning › div.ui-alert__container border,--ui-alert-warning-border,#ca8a04,--ui-color-surface,#ffffff,,,,1,--ui-alert-warning-border → --ui-color-warning-border → --ui-yellow-600 → #ca8a04,--ui-color-surface → --ui-white → #ffffff,onyx-alert.ui-alert.ui-alert--warning > div.ui-alert__container,
alert,light,default,non-text,border-vs-own-bg,informational,,2.84,INFO,FAIL,onyx-alert.ui-alert--warning › div.ui-alert__container border/inner,--ui-alert-warning-border,#ca8a04,--ui-alert-warning-bg,#fefce8,,,,1,--ui-alert-warning-border → --ui-color-warning-border → --ui-yellow-600 → #ca8a04,--ui-alert-warning-bg → --ui-color-warning-bg → --ui-yellow-50 → #fefce8,onyx-alert.ui-alert.ui-alert--warning > div.ui-alert__container,
alert,light,default,non-text,box,informational,,1.03,INFO,FAIL,onyx-alert.ui-alert--warning › div.ui-alert__container box,--ui-alert-warning-bg,#fefce8,--ui-color-surface,#ffffff,,,,1,--ui-alert-warning-bg → --ui-color-warning-bg → --ui-yellow-50 → #fefce8,--ui-color-surface → --ui-white → #ffffff,onyx-alert.ui-alert.ui-alert--warning > div.ui-alert__container,
alert,light,default,text,text,required,4.5,6.62,PASS,PASS,onyx-alert.ui-alert--warning › span.ui-alert__body,--ui-alert-warning-text,#854d0e,--ui-alert-warning-bg,#fefce8,16,400,false,1,--ui-alert-warning-text → --ui-color-warning-text → --ui-yellow-800 → #854d0e,--ui-alert-warning-bg → --ui-color-warning-bg → --ui-yellow-50 → #fefce8,onyx-alert.ui-alert.ui-alert--warning > div.ui-alert__container > span.ui-alert__body,Careful now.
alert,light,default,non-text,border,informational,,4.83,INFO,PASS,onyx-alert.ui-alert--danger › div.ui-alert__container border,--ui-alert-danger-border,#dc2626,--ui-color-surface,#ffffff,,,,1,--ui-alert-danger-border → --ui-color-danger-border → --ui-red-600 → #dc2626,--ui-color-surface → --ui-white → #ffffff,onyx-alert.ui-alert.ui-alert--danger > div.ui-alert__container,
alert,light,default,non-text,border-vs-own-bg,informational,,4.41,INFO,PASS,onyx-alert.ui-alert--danger › div.ui-alert__container border/inner,--ui-alert-danger-border,#dc2626,--ui-alert-danger-bg,#fef2f2,,,,1,--ui-alert-danger-border → --ui-color-danger-border → --ui-red-600 → #dc2626,--ui-alert-danger-bg → --ui-color-danger-bg → --ui-red-50 → #fef2f2,onyx-alert.ui-alert.ui-alert--danger > div.ui-alert__container,
alert,light,default,non-text,box,informational,,1.09,INFO,FAIL,onyx-alert.ui-alert--danger › div.ui-alert__container box,--ui-alert-danger-bg,#fef2f2,--ui-color-surface,#ffffff,,,,1,--ui-alert-danger-bg → --ui-color-danger-bg → --ui-red-50 → #fef2f2,--ui-color-surface → --ui-white → #ffffff,onyx-alert.ui-alert.ui-alert--danger > div.ui-alert__container,
alert,light,default,text,text,required,4.5,5.91,PASS,PASS,onyx-alert.ui-alert--danger › span.ui-alert__body,--ui-alert-danger-text,#b91c1c,--ui-alert-danger-bg,#fef2f2,16,400,false,1,--ui-alert-danger-text → --ui-color-danger-text → --ui-red-700 → #b91c1c,--ui-alert-danger-bg → --ui-color-danger-bg → --ui-red-50 → #fef2f2,onyx-alert.ui-alert.ui-alert--danger > div.ui-alert__container > span.ui-alert__body,Something broke.
alert,light,default,text,text,required,4.5,8.01,PASS,PASS,onyx-alert.ui-alert--info › span,--ui-alert-info-text,#1e40af,--ui-alert-info-bg,#eff6ff,18,400,false,1,--ui-alert-info-text → --ui-color-info-text → --ui-blue-700 → #1e40af,--ui-alert-info-bg → --ui-color-info-bg → --ui-blue-50 → #eff6ff,onyx-alert.ui-alert.ui-alert--info > div.ui-alert__container > button.ui-alert__dismiss > span,×
alert,light,focus,non-text,focus-ring,required,3,4.75,PASS,PASS,onyx-alert.ui-alert--info › button.ui-alert__dismiss focus-ring/box-shadow,--ui-focus-ring,#2563eb,--ui-alert-info-bg,#eff6ff,,,,1,--ui-focus-ring → --ui-color-primary → --ui-blue-500 → #2563eb,--ui-alert-info-bg → --ui-color-info-bg → --ui-blue-50 → #eff6ff,onyx-alert.ui-alert.ui-alert--info > div.ui-alert__container > button.ui-alert__dismiss,
alert,light,hover,text,text,required,4.5,8.01,PASS,PASS,onyx-alert.ui-alert--info › span,--ui-alert-info-text,#1e40af,--ui-alert-info-bg,#eff6ff,18,400,false,1,--ui-alert-info-text → --ui-color-info-text → --ui-blue-700 → #1e40af,--ui-alert-info-bg → --ui-color-info-bg → --ui-blue-50 → #eff6ff,onyx-alert.ui-alert.ui-alert--info > div.ui-alert__container > button.ui-alert__dismiss > span,×
alert,dark,default,non-text,border,informational,,2.66,INFO,FAIL,onyx-alert.ui-alert--info › div.ui-alert__container border,--ui-alert-info-border,#1d4ed8,--ui-color-surface,#0f172a,,,,2,--ui-alert-info-border → --ui-color-info-border → --ui-blue-600 → #1d4ed8,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-alert.ui-alert.ui-alert--info > div.ui-alert__container,
alert,dark,default,non-text,border-vs-own-bg,informational,,2.18,INFO,FAIL,onyx-alert.ui-alert--info › div.ui-alert__container border/inner,--ui-alert-info-border,#1d4ed8,--ui-alert-info-bg,#1e293b,,,,2,--ui-alert-info-border → --ui-color-info-border → --ui-blue-600 → #1d4ed8,--ui-alert-info-bg → --ui-color-info-bg → --ui-blue-50 → #eff6ff,onyx-alert.ui-alert.ui-alert--info > div.ui-alert__container,
alert,dark,default,non-text,box,informational,,1.22,INFO,FAIL,onyx-alert.ui-alert--info › div.ui-alert__container box,--ui-alert-info-bg,#1e293b,--ui-color-surface,#0f172a,,,,2,--ui-alert-info-bg → --ui-color-info-bg → --ui-blue-50 → #eff6ff,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-alert.ui-alert.ui-alert--info > div.ui-alert__container,
alert,dark,default,text,text,required,4.5,3.98,FAIL,PASS,onyx-alert.ui-alert--info › span.ui-alert__body,--ui-alert-info-text,#3b82f6,--ui-alert-info-bg,#1e293b,16,400,false,2,--ui-alert-info-text → --ui-color-info-text → --ui-blue-400 → #3b82f6,--ui-alert-info-bg → --ui-color-info-bg → --ui-blue-50 → #eff6ff,onyx-alert.ui-alert.ui-alert--info > div.ui-alert__container > span.ui-alert__body,An informational message.
alert,dark,default,non-text,border,informational,,5.42,INFO,PASS,onyx-alert.ui-alert--success › div.ui-alert__container border,--ui-alert-success-border,#16a34a,--ui-color-surface,#0f172a,,,,1,--ui-alert-success-border → --ui-color-success-border → --ui-green-600 → #16a34a,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-alert.ui-alert.ui-alert--success > div.ui-alert__container,
alert,dark,default,non-text,border-vs-own-bg,informational,,4.44,INFO,PASS,onyx-alert.ui-alert--success › div.ui-alert__container border/inner,--ui-alert-success-border,#16a34a,--ui-alert-success-bg,#1e293b,,,,1,--ui-alert-success-border → --ui-color-success-border → --ui-green-600 → #16a34a,--ui-alert-success-bg → --ui-color-success-bg → --ui-slate-800 → #1e293b,onyx-alert.ui-alert.ui-alert--success > div.ui-alert__container,
alert,dark,default,non-text,box,informational,,1.22,INFO,FAIL,onyx-alert.ui-alert--success › div.ui-alert__container box,--ui-alert-success-bg,#1e293b,--ui-color-surface,#0f172a,,,,1,--ui-alert-success-bg → --ui-color-success-bg → --ui-slate-800 → #1e293b,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-alert.ui-alert.ui-alert--success > div.ui-alert__container,
alert,dark,default,text,text,required,4.5,8.4,PASS,PASS,onyx-alert.ui-alert--success › span.ui-alert__body,--ui-alert-success-text,#4ade80,--ui-alert-success-bg,#1e293b,16,400,false,1,--ui-alert-success-text → --ui-color-success-text → --ui-green-400 → #4ade80,--ui-alert-success-bg → --ui-color-success-bg → --ui-slate-800 → #1e293b,onyx-alert.ui-alert.ui-alert--success > div.ui-alert__container > span.ui-alert__body,It worked.
alert,dark,default,non-text,border,informational,,8.31,INFO,PASS,onyx-alert.ui-alert--warning › div.ui-alert__container border,--ui-alert-warning-border,#f59e0b,--ui-color-surface,#0f172a,,,,1,--ui-alert-warning-border → --ui-color-warning-border → --ui-amber-500 → #f59e0b,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-alert.ui-alert.ui-alert--warning > div.ui-alert__container,
alert,dark,default,non-text,border-vs-own-bg,informational,,6.81,INFO,PASS,onyx-alert.ui-alert--warning › div.ui-alert__container border/inner,--ui-alert-warning-border,#f59e0b,--ui-alert-warning-bg,#1e293b,,,,1,--ui-alert-warning-border → --ui-color-warning-border → --ui-amber-500 → #f59e0b,--ui-alert-warning-bg → --ui-color-warning-bg → --ui-slate-800 → #1e293b,onyx-alert.ui-alert.ui-alert--warning > div.ui-alert__container,
alert,dark,default,non-text,box,informational,,1.22,INFO,FAIL,onyx-alert.ui-alert--warning › div.ui-alert__container box,--ui-alert-warning-bg,#1e293b,--ui-color-surface,#0f172a,,,,1,--ui-alert-warning-bg → --ui-color-warning-bg → --ui-slate-800 → #1e293b,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-alert.ui-alert.ui-alert--warning > div.ui-alert__container,
alert,dark,default,text,text,required,4.5,8.76,PASS,PASS,onyx-alert.ui-alert--warning › span.ui-alert__body,--ui-alert-warning-text,#fbbf24,--ui-alert-warning-bg,#1e293b,16,400,false,1,--ui-alert-warning-text → --ui-color-warning-text → --ui-amber-400 → #fbbf24,--ui-alert-warning-bg → --ui-color-warning-bg → --ui-slate-800 → #1e293b,onyx-alert.ui-alert.ui-alert--warning > div.ui-alert__container > span.ui-alert__body,Careful now.
alert,dark,default,non-text,border,informational,,3.7,INFO,PASS,onyx-alert.ui-alert--danger › div.ui-alert__container border,--ui-alert-danger-border,#dc2626,--ui-color-surface,#0f172a,,,,1,--ui-alert-danger-border → --ui-color-danger-border → --ui-red-600 → #dc2626,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-alert.ui-alert.ui-alert--danger > div.ui-alert__container,
alert,dark,default,non-text,border-vs-own-bg,informational,,3.03,INFO,PASS,onyx-alert.ui-alert--danger › div.ui-alert__container border/inner,--ui-alert-danger-border,#dc2626,--ui-alert-danger-bg,#1e293b,,,,1,--ui-alert-danger-border → --ui-color-danger-border → --ui-red-600 → #dc2626,--ui-alert-danger-bg → --ui-color-danger-bg → --ui-slate-800 → #1e293b,onyx-alert.ui-alert.ui-alert--danger > div.ui-alert__container,
alert,dark,default,non-text,box,informational,,1.22,INFO,FAIL,onyx-alert.ui-alert--danger › div.ui-alert__container box,--ui-alert-danger-bg,#1e293b,--ui-color-surface,#0f172a,,,,1,--ui-alert-danger-bg → --ui-color-danger-bg → --ui-slate-800 → #1e293b,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-alert.ui-alert.ui-alert--danger > div.ui-alert__container,
alert,dark,default,text,text,required,4.5,5.29,PASS,PASS,onyx-alert.ui-alert--danger › span.ui-alert__body,--ui-alert-danger-text,#f87171,--ui-alert-danger-bg,#1e293b,16,400,false,1,--ui-alert-danger-text → --ui-color-danger-text → --ui-red-400 → #f87171,--ui-alert-danger-bg → --ui-color-danger-bg → --ui-slate-800 → #1e293b,onyx-alert.ui-alert.ui-alert--danger > div.ui-alert__container > span.ui-alert__body,Something broke.
alert,dark,default,text,text,required,4.5,3.98,FAIL,PASS,onyx-alert.ui-alert--info › span,--ui-alert-info-text,#3b82f6,--ui-alert-info-bg,#1e293b,18,400,false,1,--ui-alert-info-text → --ui-color-info-text → --ui-blue-400 → #3b82f6,--ui-alert-info-bg → --ui-color-info-bg → --ui-blue-50 → #eff6ff,onyx-alert.ui-alert.ui-alert--info > div.ui-alert__container > button.ui-alert__dismiss > span,×
alert,dark,focus,non-text,focus-ring,required,3,7.61,PASS,PASS,onyx-alert.ui-alert--info › button.ui-alert__dismiss focus-ring/box-shadow,--ui-focus-ring,#34d399,--ui-alert-info-bg,#1e293b,,,,1,--ui-focus-ring → --ui-emerald-400 → #34d399,--ui-alert-info-bg → --ui-color-info-bg → --ui-blue-50 → #eff6ff,onyx-alert.ui-alert.ui-alert--info > div.ui-alert__container > button.ui-alert__dismiss,
alert,dark,hover,text,text,required,4.5,3.98,FAIL,PASS,onyx-alert.ui-alert--info › span,--ui-alert-info-text,#3b82f6,--ui-alert-info-bg,#1e293b,18,400,false,1,--ui-alert-info-text → --ui-color-info-text → --ui-blue-400 → #3b82f6,--ui-alert-info-bg → --ui-color-info-bg → --ui-blue-50 → #eff6ff,onyx-alert.ui-alert.ui-alert--info > div.ui-alert__container > button.ui-alert__dismiss > span,×
